"Timestamp","Age","Attendance %","Gender","Students Self Evaluation [I have been challenged to learn more than I expected.]","Students Self Evaluation [I have put a great deal of effort in this course.]","Students Self Evaluation [I consistently prepared for class.]","Students Self Evaluation [I always perform well in the class. ]","Students Self Evaluation [Compared to my peers, I am above average student. ]","Skill and responsiveness of the instructor(s) [Teachings were clear and organized]","Skill and responsiveness of the instructor(s) [Instructor(s) stimulated student interest]","Skill and responsiveness of the instructor(s) [Instructor(s) effectively used time during class periods]","Skill and responsiveness of the instructor(s) [Instructor(s) was available and helpful]","Skill and responsiveness of the instructor(s) [The instructor(s) cared about the students, their progress, and successful course completion.]","Course Structure [This class has increased my interest in data science field.]","Course Structure [This course gave me confidence to do more advanced work in the subject.]","Course Structure [I believe that what I am being asked to learn in this course is important.]","Course Structure [This course was challenging.]","Course Structure [This course helped me develop intellectual and critical thinking skills.]","On average, how many hours per week have you spent on this course, including attending classes, doing readings, reviewing notes, coding and any other course-related work?","Would you recommend this course to your friend. ","Why did you choose this course?"
"2022/12/08 8:36:52 PM GMT+7","20","98","Female","Strongly Agree","Neutral","Neutral","Strongly disagree","Strongly disagree","Agree","Agree","Strongly agree","Neutral","Neutral","Agree","Neutral","Agree","Strongly agree","Neutral","6","5","To take opportunity."
"2022/12/08 8:37:19 PM GMT+7","19","100","Male","Strongly Agree","Agree","Agree","Neutral","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","Strongly agree","Agree","Neutral","Agree","5","4","Interest"
"2022/12/08 8:37:42 PM GMT+7","20","100","Male","Strongly Agree","Agree","Agree","Strongly disagree","Strongly disagree","Agree","Agree","Agree","Agree","Agree","Strongly disagree","Strongly disagree","Neutral","Strongly agree","Disagree","3","4","To take opportunity."
"2022/12/08 8:38:02 PM GMT+7","16","100","Male","Strongly disagree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Neutral","5","5","Interest"
"2022/12/08 8:38:18 PM GMT+7","20","90","Male","Agree","Neutral","Neutral","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","6 ","5","Degree requirement"
"2022/12/08 8:39:37 PM GMT+7","20","96","Male","Neutral","Agree","Agree","Neutral","Neutral","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","15","5","To take opportunity."
"2022/12/08 8:39:37 PM GMT+7","20","100","Female","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","12","5","Interest"
"2022/12/08 8:41:40 PM GMT+7","18","96","Female","Strongly Agree","Strongly Agree","Agree","Neutral","Disagree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neutral","Strongly agree","Agree","Agree","10","4","Interest"
"2022/12/08 8:43:27 PM GMT+7","36","99","Male","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Neutral","Agree","300","5","Degree requirement"
"2022/12/08 9:11:01 PM GMT+7","18","100","Female","Strongly Agree","Agree","Neutral","Disagree","Disagree","Neutral","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","12","3","Interest"
"2022/12/09 7:58:31 PM GMT+7","20","88","Male","Agree","Strongly Agree","Strongly Agree","Neutral","Neutral","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","7","5","Interest"
